Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FLQL,3881,0,0.00,0,0.00,40.35,3881,0
SVAL,3843,0,0.00,0,0.00,29.83,3843,0
IBMM,3807,0,0.00,0,0.00,25.63,3356,451
GSUS,3783,0,0.00,0,0.00,54.34,3683,100
GMOM,3781,0,0.00,0,0.00,28.12,3781,0
KJAN,3773,0,0.00,0,0.00,31.38,3073,700
PJUL,3666,0,0.00,0,0.00,30.99,3666,0
NUMG,3656,0,0.00,0,0.00,38.13,3655,1
POCT,3627,0,0.00,0,0.00,30.99,3627,0
RULE,3600,0,0.00,0,0.00,19.42,3600,0
BAUG,3537,0,0.00,0,0.00,30.89,3537,0
TMFM,3515,0,0.00,0,0.00,22.72,3515,0
MFUL,3510,0,0.00,0,0.00,21.50,3510,0
NUSC,3441,0,0.00,0,0.00,37.11,3367,74
NUDM,3375,0,0.00,0,0.00,27.69,3375,0
FCLD,3340,0,0.00,0,0.00,16.90,3340,0
TAIL,3334,0,0.00,0,0.00,14.58,3334,0
DNOV,3295,0,0.00,0,0.00,33.54,3295,0
DDLS,3240,0,0.00,0,0.00,31.90,3240,0
DRSK,3225,0,0.00,0,0.00,25.60,3125,100
ADME,3214,0,0.00,0,0.00,34.06,3214,0
KAPR,3187,0,0.00,0,0.00,26.26,3146,41
JPIB,3125,0,0.00,0,0.00,46.82,2825,300
FYLD,3093,0,0.00,0,0.00,25.71,3093,0
FLQM,3083,0,0.00,0,0.00,43.60,3083,0
TDV,3036,0,0.00,0,0.00,59.42,3036,0
MPRO,3035,0,0.00,0,0.00,25.35,2858,177
IBMN,2971,0,0.00,0,0.00,26.20,2971,0
PNOV,2922,0,0.00,0,0.00,31.15,2922,0
QTJA,2905,0,0.00,0,0.00,18.26,2905,0
PAUG,2896,0,0.00,0,0.00,29.08,2896,0
XDEC,2829,0,0.00,0,0.00,30.67,2829,0
DINT,2803,0,0.00,0,0.00,18.99,2803,0
VAMO,2740,0,0.00,0,0.00,26.98,2740,0
SMDV,2724,0,0.00,0,0.00,65.10,2650,74
IYJ,2716,0,0.00,0,0.00,100.01,2716,0
BUFF,2594,0,0.00,0,0.00,35.28,1594,1000
FLDR,2584,0,0.00,0,0.00,49.88,2584,0
QVAL,2541,0,0.00,0,0.00,34.01,2541,0
XSHD,2540,0,0.00,0,0.00,18.37,2540,0
PBSM,2515,0,0.00,0,0.00,34.75,2515,0
NETZ,2503,0,0.00,0,0.00,49.41,2503,0
IDME,2483,0,0.00,0,0.00,19.67,2300,183
IMOM,2471,0,0.00,0,0.00,25.99,2471,0
PAWZ,2398,0,0.00,0,0.00,51.80,2398,0
FSMO,2354,0,0.00,0,0.00,21.80,1465,889
EYLD,2350,0,0.00,0,0.00,29.15,2350,0
JUCY,2295,0,0.00,0,0.00,25.08,2095,200
VFVA,2253,0,0.00,0,0.00,105.09,2253,0
MRSK,2237,0,0.00,0,0.00,26.26,2237,0
DSEP,2233,0,0.00,0,0.00,31.41,2233,0
GSEW,2223,0,0.00,0,0.00,60.85,2223,0
FMAY,2200,0,0.00,0,0.00,36.15,2200,0
UJUN,2182,0,0.00,0,0.00,27.21,2182,0
FLBL,2142,0,0.00,0,0.00,23.76,2141,1
IGRO,2116,0,0.00,0,0.00,60.50,2116,0
FJUL,2111,0,0.00,0,0.00,35.43,2111,0
BUFD,2103,0,0.00,0,0.00,20.02,2103,0
IZRL,2103,0,0.00,0,0.00,17.99,2103,0
ATMP,2101,0,0.00,0,0.00,19.25,2101,0
IBHH,2101,0,0.00,0,0.00,22.10,2101,0
IGEB,2085,0,0.00,0,0.00,43.55,2085,0
DWLD,2029,0,0.00,0,0.00,27.00,2029,0
FAPR,2025,0,0.00,0,0.00,30.23,2025,0
FBCV,2004,0,0.00,0,0.00,28.09,2004,0
EDEN,2003,0,0.00,0,0.00,102.51,2003,0
FFTI,1999,0,0.00,0,0.00,20.35,1999,0
PSMB,1978,0,0.00,0,0.00,14.83,1878,100
TMFG,1972,0,0.00,0,0.00,24.87,1972,0
PRNT,1971,0,0.00,0,0.00,22.80,1971,0
KJUL,1970,0,0.00,0,0.00,25.43,1970,0
LEAD,1931,0,0.00,0,0.00,51.65,1931,0
HYHG,1919,0,0.00,0,0.00,59.05,1919,0
DFRA,1893,0,0.00,0,0.00,26.42,1893,0
AFIF,1873,0,0.00,0,0.00,8.83,1873,0
BUFR,1857,0,0.00,0,0.00,22.90,1857,0
DFEB,1851,0,0.00,0,0.00,32.95,1851,0
MOHR,1847,0,0.00,0,0.00,19.40,1847,0
TRTY,1825,0,0.00,0,0.00,25.02,1825,0
FDHT,1803,0,0.00,0,0.00,19.70,1272,531
FCTR,1775,0,0.00,0,0.00,27.69,1775,0
BUFT,1757,0,0.00,0,0.00,18.71,1757,0
IVAL,1676,0,0.00,0,0.00,23.43,1676,0
XBJA,1660,0,0.00,0,0.00,22.83,1660,0
PJUN,1655,0,0.00,0,0.00,30.38,1655,0
SMIN,1651,0,0.00,0,0.00,50.35,1651,0
VFMV,1646,0,0.00,0,0.00,99.90,1646,0
HCRB,1637,0,0.00,0,0.00,34.28,1637,0
JBBB,1636,0,0.00,0,0.00,46.54,1636,0
TMAT,1603,0,0.00,0,0.00,13.57,1603,0
EWUS,1600,0,0.00,0,0.00,33.06,1600,0
SEPZ,1600,0,0.00,0,0.00,30.30,1600,0
UMAR,1600,0,0.00,0,0.00,28.15,1600,0
IVSG,1589,0,0.00,0,0.00,9.99,1589,0
OGIG,1582,0,0.00,0,0.00,26.89,1582,0
TYA,1555,0,0.00,0,0.00,14.75,1348,207
VFMF,1541,0,0.00,0,0.00,102.79,1541,0
QDEC,1540,0,0.00,0,0.00,19.78,1540,0
FPFD,1500,0,0.00,0,0.00,20.98,1500,0
NURE,1465,0,0.00,0,0.00,31.30,1465,0
FJUN,1459,0,0.00,0,0.00,37.33,1459,0
WFHY,1454,0,0.00,0,0.00,43.80,1453,1
